milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,1163,85,1248,93.19,0.1538,0.0959,0.6271,4.1111
AIR-5x,918,330,1248,73.56,0.1507,0.0309,0.3303,2.1161
AIR-25x,1136,112,1248,91.03,0.1136,0.0563,0.5585,5.1024
AIR-250x,1045,203,1248,83.73,0.0588,0.0860,0.9111,13.1548
AIR-2000x,898,350,1248,71.96,0.1001,0.0930,1.2649,25.9424
AIR-10000x,791,457,1248,63.38,0.1508,0.0978,1.4519,37.7941
SAR-level-experiment-selection-skill,1089,159,1248,87.26,0.1077,0.0444,0.4419,3.1917
SIAR-level-experiment-selection-skill,1233,15,1248,98.80,0.1237,0.1021,0.9733,10.1640
STRAT-AI,1233,15,1248,98.80,0.1237,0.1021,0.9733,10.1640
TED-AI,1225,23,1248,98.16,0.1622,0.1163,1.2202,17.2525
ASI,1203,45,1248,96.39,0.2471,0.1348,1.7129,31.6598
