milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10_achieved_only,p50_achieved_only,p90_achieved_only,p10_including_not_achieved,p50_including_not_achieved,p90_including_not_achieved
"(Expensive, threshold only considers taste) SAR",1592,374,1966,80.98,2028.9762,2027.5529,2031.9053,2043.6780,2027.7214,2033.9343,2050.0000
"(Expensive, threshold only considers taste) SIAR",1326,640,1966,67.45,2029.2500,2027.7458,2032.9522,2044.3925,2028.3180,2038.5545,2050.0000
ACD-AI,1686,280,1966,85.76,2028.3333,2027.1658,2030.2005,2041.0321,2027.2923,2031.2256,2050.0000
AI2027-SC,1419,547,1966,72.18,2028.9167,2027.6492,2031.3353,2042.0367,2027.9638,2034.7081,2050.0000
AIR-10000x,1108,858,1966,56.36,2029.4167,2027.7441,2032.8904,2044.9587,2028.5028,2044.2849,2050.0000
AIR-2000x,1192,774,1966,60.63,2029.2500,2027.7452,2033.0454,2044.7266,2028.4908,2041.7974,2050.0000
AIR-250x,1343,623,1966,68.31,2029.1667,2027.7293,2032.9102,2044.4281,2028.2864,2038.0422,2050.0000
AIR-25x,1571,395,1966,79.91,2029.0667,2027.6112,2032.1343,2043.3800,2027.8766,2034.2655,2050.0000
AIR-5x,1699,267,1966,86.42,2028.7286,2027.4141,2030.9443,2042.0345,2027.5160,2032.0577,2050.0000
